½s¸¹,¤g¦a°Ï¬q¦ì¸m,¤g¦a²¾Âà­±¿n¥­¤è¤½¤Ø,¨Ï¥Î¤À°Ï©Î½s©w
RPQNMLTJJHMFFBV07CA,©M¥­«n¬q,281.16,«D³£¥«¡G­·´º°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPQNMLTJJHMFFBV07CA,©M¥­«n¬q,2506.80,«D³£¥«¡G­·´º°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPRNMLTJJHMFFBV17CA,¥P¥Á¬q,4000.00,«D³£¥«¡G­·´º°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPPNMLNKJHMFFAV98CA,¥xªF¬q,42.00,³£¥«¡G¦í
RPXNMLSKJHMFFAV67CA,Â×§Q¬q,215.15,³£¥«¡G¦í
RPXNMLSKJHMFFAV67CA,Â×§Q¬q,4.78,³£¥«¡G¦í
RPXNMLSKJHMFFAV67CA,Â×§Q¬q,3436.63,³£¥«¡G¹A
RPQNMLTLJHMFFAV17CA,¥xªF¬q,48.26,³£¥«¡G¦í
RPVNMLKKJHMFFAV66CA,¥xªF¬q,11.93,³£¥«¡G¦í
RPPNMLTJJHMFFAV86CA,ªF®ü¬q,16.12,³£¥«¡G¦í
RPPNMLTJJHMFFAV86CA,ªF®ü¬q,1.04,³£¥«¡G¦í
RPQNMLTJJHMFFAV96CA,Â×¦~¬q,78.28,³£¥«¡G¦í
RPOOMLTJJHMFFAV86CA,¥xªF¬q,86.00,³£¥«¡G¦í
RPRNMLKKJHMFFAV88CA,¥xªF¬q,50.00,³£¥«¡G¦í
RPVNMLLKJHMFFAV76CA,Â×¦¨¬q,4351.81,«D³£¥«¡G¯S©w¹A·~°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPPNMLNJKHMFFCV56CA,¬õ¸­¬q,8710.00,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPPNMLLKJHMFFDV09CA,ÃcËú¬q,2900.00,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPQNMLLKJHMFFDV56CA,ÃcËú¬q,870.00,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPQNMLLKJHMFFDV56CA,ÃcËú¬q,210.00,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPRNMLLKJHMFFDV66CA,ÃcËú¬q,155.00,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPSNMLLKJHMFFDV76CA,ª÷´I¬q,736.67,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPSNMLLKJHMFFDV76CA,ª÷´I¬q,1657.19,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPSNMLKKJHMFFAV09DA,ªì³À¬q,4290.00,«D³£¥«¡G¯S©w¹A·~°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPUNMLLKJHMFFDV07DA,¯î³¥¬q,105.67,«D³£¥«¡G¤@¯ë¹A·~°Ï ; «D³£¥«½s©w¡G¥ÒºØ«Ø¿v¥Î¦a
RPPNMLKKJHMFFCV98DA,Æ}¤s¬q,226.00,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡G¤þºØ«Ø¿v¥Î¦a
RPQNMLMKJHMFFCV66DA,¨½ýK¬q,.22,³£¥«¡G¨ä¥L
RPRNMLMKJHMFFCV76DA,¨½ýK¬q,19.57,³£¥«¡G¨ä¥L
RPRNMLMKJHMFFCV76DA,¨½ýK¬q,.35,³£¥«¡G¨ä¥L
RPSNMLMKJHMFFCV86DA,¨½ýK¬q,23.63,³£¥«¡G¨ä¥L
RPQNMLSKJHMFFAV07DA,¥xªF¬q,102.00,³£¥«¡G¦í
RPQNMLLKJHMFFAV98DA,Â×¦¨¬q,2500.00,«D³£¥«¡G¯S©w¹A·~°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPRNMLOLJHMFFBV86CA,«n¤K¨½¬q,376.84,«D³£¥«¡G­·´º°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPRNMLOLJHMFFBV86CA,«n¤K¨½¬q,339.16,«D³£¥«¡G­·´º°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPPNMLLKJHMFFCV98CA,·ç¨½¬q,94.90,«D³£¥«¡G¶m§ø°Ï ; «D³£¥«½s©w¡G¤AºØ«Ø¿v¥Î¦a
RPPNMLLKJHMFFCV98CA,·½¶©¬q,73.81,«D³£¥«¡G¶m§ø°Ï ; «D³£¥«½s©w¡G¤AºØ«Ø¿v¥Î¦a
RPPNMLLKJHMFFCV98CA,·½¶©¬q,13.48,«D³£¥«¡G¶m§ø°Ï ; «D³£¥«½s©w¡G¥æ³q¥Î¦a
RPRNMLMKJHMFFBV56CA,¤T¥P¬q,1022.94,³£¥«¡G¨ä¥L
RPSNMLMKJHMFFBV66CA,¤T¥P¬q,4018.97,³£¥«¡G¨ä¥L
RPSNMLMKJHMFFBV66CA,¤T¥P¬q,4122.26,³£¥«¡G¨ä¥L
RPPNMLNKJHMFFBV09CA,°ª­ì¬q,2405.00,«D³£¥«¡G´ËªL°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPQNMLTKJHMFFAV07CA,·s¶é¬q,988.00,«D³£¥«¡G¯S©w¹A·~°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPQNMLMKJHMFFBV09CA,©¾¤¯¬q,284.17,³£¥«¡G¨ä¥L
RPQNMLMKJHMFFBV09CA,©¾¤¯¬q,246.70,³£¥«¡G¨ä¥L
RPPNMLNJKHMFFAV98CA,¥xªF¬q,68.00,³£¥«¡G¦í
RPPNMLNJKHMFFAV98CA,¥xªF¬q,20.00,³£¥«¡G¦í
RPQNMLNJKHMFFAV09CA,±`¼w¬q,126.56,³£¥«¡G¦í
SPQNMLNJKHMFFAV56CA,¥xªF¬q,12.64,³£¥«¡G¦í
RPPNMLMKJHMFFCV09CA,¼yºÖ¬q,551.07,³£¥«¡G¦í
RPPNMLRKJHMFFCV96CA,¤¤ºÖ¬q,107.01,³£¥«¡G¦í
RPQNMLNKJHMFFAV56DA,¤¤¤ß¬q,93.00,³£¥«¡G¦í
RPSNMLNKJHMFFAV76DA,¥xªF¬q,73.00,³£¥«¡G¦í
RPTNMLNKJHMFFAV86DA,¤W©¥ÆW¬q,53.00,³£¥«¡G¦í
RPTNMLNKJHMFFAV86DA,¤W©¥ÆW¬q,19.27,³£¥«¡G¦í
RPPNMLQKJHMFFAV76DA,¥xªF¬q,94.00,³£¥«¡G¦í
RPPNMLQKJHMFFAV76DA,¥xªF¬q,5.00,³£¥«¡G¦í
RPRNMLMKJHMFFAV09CA,§Q®a¬q,112.67,«D³£¥«¡G¶m§ø°Ï ; «D³£¥«½s©w¡G¤AºØ«Ø¿v¥Î¦a
RPRNMLMKJHMFFAV09CA,§Q®a¬q,19.75,«D³£¥«¡G¶m§ø°Ï ; «D³£¥«½s©w¡G¤AºØ«Ø¿v¥Î¦a
RPSNMLMKJHMFFAV56CA,Â×¨¦¬q,242.00,³£¥«¡G¦í
RPSNMLMKJHMFFAV56CA,Â×¨¦¬q,68.00,³£¥«¡G¨ä¥L
RPSNMLMKJHMFFAV56CA,Â×¨¦¬q,50.00,³£¥«¡G¦í
RPRNMLRKJHMFFAV96CA,´I©£¬q,75.29,«D³£¥«¡G¶m§ø°Ï ; «D³£¥«½s©w¡G¤AºØ«Ø¿v¥Î¦a
RPOOMLRKJHMFFAV76CA,¥xªF¬q,80.00,³£¥«¡G¦í
RPOOMLRKJHMFFAV76CA,¥xªF¬q,45.00,³£¥«¡G¦í
RPRNMLOKJHMFFAV66CA,Â×¦~¬q,344.45,³£¥«¡G¹A
RPUNMLLKJHMFFAV66CA,ªF¹A¬q,2499.62,«D³£¥«¡G¯S©w¹A·~°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPUNMLLKJHMFFAV66CA,ªF¹A¬q,.38,³£¥«¡G¹A
RPRNMLQKJHMFFBV07DA,©M¥­¥_¬q,1103.47,«D³£¥«¡G­·´º°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPRNMLQKJHMFFBV07DA,©M¥­¥_¬q,898.41,«D³£¥«¡G­·´º°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPOOMLKLJHMFFAV88DA,ªF¹A¬q,4791.54,«D³£¥«¡G¯S©w¹A·~°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPQNMLNKJHMFFCV76DA,ªZ³®¬q,1515.00,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡GªL·~¥Î¦a
RPPNMLOLJHMFFBV66CA,·s³£«Â¬q,2721.02,«D³£¥«¡G­·´º°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPPNMLPKJHMFFAV56CA,ªF¨¦¬q,131.65,³£¥«¡G¦í
RPQNMLPKJHMFFAV66CA,Â×¦¨¬q,110.00,«D³£¥«¡G ; «D³£¥«½s©w¡G
RPRNMLPKJHMFFAV76CA,Â×¦¨¬q,110.00,«D³£¥«¡G ; «D³£¥«½s©w¡G
RPVNMLMKJHMFFAV86CA,°¨Äõ¬q,97.00,³£¥«¡G¦í
RPSNMLPLJHMFFCV17CA,±d·½¬q,193.00,«D³£¥«¡G¶m§ø°Ï ; «D³£¥«½s©w¡G¤AºØ«Ø¿v¥Î¦a
RPRNMLNKJHMFFBV66CA,¨FªdÆW¬q,2324.10,«D³£¥«¡G­·´º°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPRNMLNKJHMFFBV66CA,¨FªdÆW¬q,1565.03,«D³£¥«¡G­·´º°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPQNMLQKJHMFFBV86CA,³£Â×¬q,118.34,«D³£¥«¡G­·´º°Ï ; «D³£¥«½s©w¡G¥æ³q¥Î¦a
RPQNMLQKJHMFFBV86CA,³£Â×¬q,34.26,«D³£¥«¡G­·´º°Ï ; «D³£¥«½s©w¡G¥æ³q¥Î¦a
RPQNMLQKJHMFFBV86CA,³£Â×¬q,2669.47,«D³£¥«¡G­·´º°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPUNMLKLJHMFFBV76CA,¥õ¥ú¬q,159.34,³£¥«¡G¦í
RPQOMLSKJHMFFAV07CA,«Ø¿³¬q,30.00,³£¥«¡G¦í
RPQOMLSKJHMFFAV07CA,«Ø¿³¬q,54.00,³£¥«¡G¦í
RPQOMLSKJHMFFAV07CA,«Ø¿³¬q,19.00,³£¥«¡G¦í
RPUNMLQKJHMFFAV17CA,¿³¦w¬q,124.75,³£¥«¡G¦í
RPQOMLKLJHMFFAV98CA,¥xªF¬q,83.00,³£¥«¡G¦í
RPVNMLKLJHMFFBV86CA,¤K¥P¬}¬q,1404.96,«D³£¥«¡G­·´º°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPVNMLKLJHMFFBV86CA,¤j­Ñ¨Ó¬q,2050.67,«D³£¥«¡G­·´º°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPPNMLSKJHMFFAV86CA,Â×¯è¬q,45.84,³£¥«¡G¦í
RPPNMLSKJHMFFAV86CA,Â×¯è¬q,45.84,³£¥«¡G¦í
RPPNMLSKJHMFFAV86CA,Â×¯è¬q,187.24,³£¥«¡G¦í
RPPNMLSKJHMFFAV86CA,Â×¯è¬q,187.24,³£¥«¡G¦í
RPPNMLSKJHMFFAV86CA,Â×¯è¬q,148.89,³£¥«¡G¨ä¥L
RPPNMLSKJHMFFAV86CA,Â×¯è¬q,148.89,³£¥«¡G¨ä¥L
RPPNMLSKJHMFFAV86CA,Â×¯è¬q,58.04,³£¥«¡G¨ä¥L
RPPNMLSKJHMFFAV86CA,Â×¯è¬q,58.04,³£¥«¡G¨ä¥L
RPPNMLSKJHMFFAV86CA,Â×¯è¬q,76.92,³£¥«¡G¦í
RPPNMLSKJHMFFAV86CA,Â×¯è¬q,76.92,³£¥«¡G¦í
RPPNMLSKJHMFFAV86CA,Â×¯è¬q,242.07,³£¥«¡G¨ä¥L
RPPNMLSKJHMFFAV86CA,Â×¯è¬q,242.07,³£¥«¡G¨ä¥L
RPPNMLSKJHMFFAV86CA,Â×¯è¬q,416.12,³£¥«¡G¦í
RPPNMLSKJHMFFAV86CA,Â×¯è¬q,416.12,³£¥«¡G¦í
RPPNMLSKJHMFFAV86CA,Â×¯è¬q,164.09,³£¥«¡G¦í
RPPNMLSKJHMFFAV86CA,Â×¯è¬q,164.09,³£¥«¡G¦í
RPPNMLSKJHMFFAV86CA,Â×¯è¬q,79.74,³£¥«¡G¨ä¥L
RPPNMLSKJHMFFAV86CA,Â×¯è¬q,79.74,³£¥«¡G¨ä¥L
RPRNMLQKJHMFFAV86CA,¥xªF¬q,97.00,³£¥«¡G¦í
RPRNMLQKJHMFFAV86CA,¥xªF¬q,4.00,³£¥«¡G¦í
RPSNMLQKJHMFFAV96CA,«CªL¬q,7.05,³£¥«¡G°Ó
RPSNMLQKJHMFFAV96CA,«CªL¬q,78.57,³£¥«¡G¨ä¥L
RPPNMLTKJHMFFDV37DA,ª÷¬P¬q,490.00,«D³£¥«¡G¶m§ø°Ï ; «D³£¥«½s©w¡G¤AºØ«Ø¿v¥Î¦a
